branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
msi,17.3,Core i7,16,512,NVIDIA Geforce RTX 4070 8GB GDDR6,2.8,5000000,24,12.222,4272000,0,1,5,397 * 284 * 25.9 mm,Đen,Intel,13700H,2.4,14.0,20.0,DDR5,5200 MHz,2,0,IPS FHD,2560 x 1440 Pixels,IPS,240,100% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium polymer,240 W,windows,47990000
macbook,13.3,M2,16,512,Apple M2,1.4,3000000,12,9.585,6166000,113,189,5,304.1 x 212.4 x 15.6 mm,Xám,Apple,8 - Core,2.4,,,LPDDR4,3200 MHz,Không,Có,Retina,2560 x 1600 Pixels,,,,LED,2,English International Backlit Keyboard,Không,LED,Lithium polymer,67 W,macos,39990000
dell,15.6,Core i7,16,512,NVIDIA GeForce RTX 4060 8GB GDDR6,2.65,3000000,12,10.747,3468000,4,8,4,357.26 x 274.52 x Height: (Front: 21.28 ; Rear: 26.15 ) mm,Xám,Intel,13650HX,1.9,14.0,20.0,DDR5,4800 MHz,2,0,WVA Anti-glare LED Backlit Narrow Border,1920 x 1080 Pixels,WVA,165,100% sRGB,,,"6-row, multimedia Fn keys, numeric keypad",Có,LED,Lithium-ion,,windows,39990000
asus,16.0,Core i7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.0,5500000,24,11.247,3508000,0,0,5,35.5 x 24.3 x 2.05 ~ 2.29 cm,Xám,Intel,13620H,2.4,6.0,4.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1200 Pixels,IPS,165,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Không,LED,Lithium-ion 4 viên,240 W,windows,39490000
asus,14.0,Ryzen 7,16,512,NVIDIA GeForce RTX 3050 4GB,1.72,5000000,24,9.622,3387000,0,3,5,31.2 x 22.7 x 1.95 ~ 2.05 cm,Xám,AMD,7735HS,3.2,8.0,16.0,DDR5,4800 MHz,1,1,Anti - Glare,1920 x 1200 Pixels,IPS,144,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Không,LED,Lithium-ion,200 W,windows,37990000
macbook,15.3,M2,8,512,Apple M2,1.51,0,12,0.0,3045000,0,0,5,23.76 x 34.04 x 1.15 cm,Xanh dương,Apple,8 - Core,,,,Hãng không công bố,Hãng không công bố MHz,0,1,Liquid Retina,2960 x 1848 Pixels,OLED,60,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,70 W,macos,37890000
asus,16.0,Core i7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,3.82,6500000,24,9.372,3428000,13,19,5,35.4 x 26.4 x 2.26 ~ 3.04 cm,Xám,Intel,13650HX,2.6,14.0,20.0,DDR5,4800 MHz,2,0,Anti-Glare,1920 x 1200 Pixels,IPS,165,100% sRGB,LED,,Backlit Chiclet Keyboard,Không,LED,,,windows,37490000
acer,16.0,Ryzen 7,16,1,AMD Radeon Graphics,1.1,3000000,12,9.997,3133000,13,14,5,356.7 (W) x 242.3 (D) x 12.95/13.95 (H) mm,Xanh,AMD,6800H,2.7,8.0,16.0,LPDDR5,6400 MHz,0,1,Acer CineCrystalTM LED-backlit TFT LCD Chính:,3840 x 2400 Pixels Màn hình chính:,OLED,60  Màn hình chính:,,OLED,,Bàn phím cứng,Có (NumberPad),LED,Lithium-ion 3 viên,,windows,36990000
macbook,15.3,M2,16,256,Apple M2,1.51,1400000,12,9.055,3045000,13,35,5,23.76 x 34.04 x 1.15 cm,Xám,Apple,8 - Core,,,,Hãng không công bố,Hãng không công bố MHz,0,1,Liquid Retina,2880 x 1864 Pixels,OLED,60,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,35 W,macos,36490000
lg,14.0,Core i7,16,512,Intel Iris Xe Graphics,1.0,4300000,12,8.672,3133000,0,0,5,35.5 cm,Đen,Intel,1360P,2.2,,,,,0,1,IPS,1920 x 1200 Pixels,IPS,60,,,,Bàn phím cứng,Không,LED,,,windows,34690000
lg,14.0,Core i5,16,512,Intel Iris Plus Graphics,1.5,4300000,12,8.672,3133000,0,8,4,"35,5 cm",Trắng,Intel,1340P,1.9,,,DDR5,6000 MHz,0,1,OLED,2880 x 1800 Pixels,OLED,90,,,,Bàn phím cứng,Không,LED,Pin sạc,,windows,34690000
lg,14.0,Core i5,16,512,Intel Iris Plus Graphics,1.25,4000000,24,8.872,3053000,0,2,0,31.4 x 21.95 x 1.68 cm,Đen,Intel,1340P,4.6,,,LPDDR5,5200 MHz,0,2,Anti - Glare,1920 x 1200 Pixels,IPS,60,,,,Backlit Chiclet Keyboard,Có,LED,,,windows,33990000
asus,15.6,Core i9,16,512,,1.8,8000000,24,10.497,3307000,0,0,5,35.63 x 23.53 x 1.99 mm,Bạc,Intel,13900H,2.6,,,DDR5,,1,1,OLED,2880 x 1620 Pixels,OLED,120,,,,Backlit Chiclet Keyboard,Có,LED,,,windows,33990000
lenovo,15.6,Ryzen 7,16,512,NVIDIA GeForce RTX 3060 6GB,2.49,12500000,36,8.497,3588000,13,27,5,359.9 x 262.4 x 19.9 mm,Trắng,AMD,6800H,3.2,8.0,16.0,DDR5,4800 MHz,2,0,"IPS LCD LED Backlit, True Tone",2560 x 1600 Pixels,IPS,165,100% sRGB,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,230 W,windows,33990000
macbook,13.6,M2,16,256,Apple M2,1.24,3000000,12,7.82,2813000,30,86,5,30.41 x 21.5 x 1.13 cm,Đen,Apple,8 - Core,2.3,,,LPDDR4,3200 MHz,Không,Có,Retina,2560 x 1644 Pixels,IPS,60,,LED,4,English International Backlit Keyboard,Không,LED,Lithium polymer,30 W,macos,31990000
macbook,15.0,M2,8,256,Apple M2,1.51,900000,12,7.782,2645000,14,39,5,23.76 x 34.04 x 1.15 cm,Xanh dương,Apple,8 - Core,,,,Hãng không công bố,Hãng không công bố MHz,0,1,Liquid Retina,2880 x 1800 Pixels,OLED,60,,LED,6,English International Backlit Keyboard,Không,LED,Lithium polymer,35 W,macos,31990000
msi,15.6,Core i7,16,1,NVIDIA GeForce RTX 4060 8GB GDDR6,2.25,5300000,24,8.047,2909000,26,37,4,359 x 259 x 24.9 mm,Đen,Intel,13620H,,10.0,16.0,DDR5,5200 MHz,2,0,IPS,1920 x 1080 Pixels,IPS,144,60 - 65% sRGB,Màn hình phẳng,2,English International Backlit Keyboard,Có,LED,,200 W,windows,31690000
msi,13.3,Core i7,16,1,Intel Iris Xe Graphics,0.99,2500000,24,7.872,2733000,0,0,5,299 x 210 x 16.9 mm,Xám,Intel,1360P,2.7,12.0,16.0,LPDDR5,4800 MHz,0,1,IPS,1920 x 1200 Pixels,IPS,144,,,4,Backlit Chiclet Keyboard,Có,LED,,65 W,windows,31490000
asus,15.6,Core i5,16,512,,1.8,7000000,24,9.497,2973000,0,0,0,35.63 x 23.53 x 1.99 cm,Bạc,Intel,13500H,2.6,,,DDR5,,1,1,OLED,2880 x 1620 Pixels,OLED,120,,,,Backlit Chiclet Keyboard,Có,Không,,,windows,30990000
macbook,13.3,M2,8,256,Apple M2,1.4,1500000,12,7.597,2573000,733,134,5,304.1 x 212.4 x 15.6 mm,Bạc,Apple,8 - Core,2.4,,,LPDDR4,3200 MHz,Không,Có,Retina,2560 x 1600 Pixels,OLED,Hãng không công bố,,LED,2,English International Backlit Keyboard,Không,LED,Lithium polymer,67 W,macos,30490000
asus,14.0,Core i7,16,512,Intel UHD Graphics,1.5,3500000,24,7.622,2733000,0,0,5,31.15 x 22.34 x 1.59 cm,Xanh,Intel,1360P,2.2,12.0,16.0,DDR5,4800 MHz,0,1,OLED Màn hình chính:,2880 x 1800 Pixels Màn hình chính:,IPS,90,,OLED,2,Backlit Chiclet Keyboard,Không,LED,Lithium-ion,,windows,30490000
asus,15.6,Core i7,16,512,NVIDIA GeForce RTX 4060 8GB GDDR6,2.2,5000000,24,7.622,2813000,0,1,5,35.4 x 25.1 x 2.24 cm,Xám,Intel,12700H,2.3,,,,,2,0,Anti-Glare Chính:,1920 x 1080 Pixels Màn hình chính:,IPS,144,,,,Backlit Chiclet Keyboard,Có (NumberPad),LED,,,windows,30490000
msi,15.6,Core i7,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.29,3000000,24,7.522,2653000,13,19,4,359 x 259 x 24.9 mm,Đen,Intel,13620H,,10.0,16.0,DDR5,5200 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium polymer,200 W,windows,29990000
asus,15.6,Core i7,8,512,NVIDIA GeForce RTX 4060 8GB GDDR6,2.2,5000000,24,7.497,2733000,15,34,5,35.4 x 25.1 x 2.24 ~ 2.49 cm,Xám,Intel,12700H,2.3,,,DDR4,3200 MHz,2,1,IPS,1920 x 1080 Pixels,IPS,144,,,,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,240 W,windows,29490000
microsoft,13.0,Core i5,8,256,Intel UHD Graphics,0.879,1700000,1,7.447,2493000,0,6,0,287 mm,Bạc,Intel,1235U,3.3,10.0,12.0,DDR5,4800 MHz,0,1,IPS Chính:,2880 x 1920 Pixels,IPS,120,,LED,,Gắn rời,Không,Không,,,windows,29290000
macbook,13.3,M1,16,256,Apple M1,1.29,1000000,12,7.122,2413000,205,332,5,304.1 x 212.4 x 4.1 ~ 16.1 mm,Bạc,Apple,,,8.0,8.0,LPDDR4,,Không,Có,"IPS LCD LED Backlit, True Tone",2560 x 1600 Pixels,IPS,,96% sRGB,LED,2,English International Backlit Keyboard,Không,LED,Lithium polymer,,macos,28990000
asus,14.0,Core i7,16,512,,1.39,3500000,24,6.872,2533000,0,0,0,31.36 x 22.06 x 1.69 cm,Xanh,Intel,1360P,2.2,,,DDR5,,0,2,OLED,2880 x 1800 Pixels,OLED,90,,OLED,,Backlit Chiclet Keyboard,Không,Không,,,windows,28490000
asus,15.6,Core i7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.2,4500000,24,7.247,2573000,0,0,5,35.4 x 25.1 x 2.24 cm,Xám,Intel,12700H,2.3,14.0,20.0,DDR4,,2,0,Anti-Glare LED-Backlit Display,1920 x 1080 Pixels,IPS,144,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Có,Đang cập nhật,Lithium-ion,240 W,windows,28490000
dell,14.0,Core i7,16,512,,1.62,1500000,12,7.122,3958000,0,0,5,314 x 226.56 x 15.54~17.47 mm,Bạc,Intel,1355U,1.2,,12.0,LPDDR5,4800 MHz,0,16,Wide-Viewing Angle (WVA),1920 x 1200 Pixels,WVA,60,45% NTSC,,,Backlit Chiclet Keyboard,Không,Trắng,,,windows,27990000
asus,15.6,Ryzen 7,8,512,NVIDIA GeForce RTX 4060 8GB GDDR6,2.2,6000000,24,7.097,2693000,16,36,5,35.4 x 25.1 x 2.24 ~ 2.49 cm,Xám,AMD,7735HS,3.2,8.0,16.0,DDR5,4800 MHz,2,0,FHD,1920 x 1080 Pixels,IPS,144,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,240 W,windows,27990000
asus,14.0,Core i9,16,512,NVIDIA GeForce RTX 3050 4GB,1.4,6000000,24,7.247,2653000,28,41,5,31.71 x 22.25 x 1.89 ~ 1.89 cm,Bạc,Intel,13900H,2.6,14.0,20.0,DDR4,3200 MHz,2,Có,OLED,2880 x 1800 Pixels,IPS,90,,OLED,,Backlit Chiclet Keyboard,Không,LED,,,windows,27990000
lenovo,15.6,Ryzen 5,16,512,NVIDIA GeForce RTX 3050 Ti 4GB,2.4,5000000,36,6.997,2653000,13,41,5,358.8 x 262.35 x 19.99 mm,Xám,AMD,6600H,3.3,6.0,12.0,DDR5,4800 MHz,1,1,Anti-glare WLED-backlit,1920 x 1080 Pixels,IPS,165,100% sRGB,,2,Backlit Chiclet Keyboard,Có,LED,,230 W,windows,27990000
gigabyte,15.6,Core i5,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.25,2000000,24,7.247,2423000,0,4,5,360 x 272 x 20.9 mm,Đen,Intel,12500H,2.5,12.0,16.0,DDR5,4800 MHz,2,0,Anti-Glare,1920 x 1080 Pixels,IPS,360,100% sRGB,Màn hình phẳng,2,English International Backlit Keyboard,Không,LED,Lithium polymer,240 W,windows,27990000
lenovo,15.6,Core i5,16,512,NVIDIA GeForce RTX 3050 4GB,2.35,4000000,36,7.997,2541000,13,30,5,358.8 x 262.35 x 19.99 mm,Xám,Intel,12500H,2.5,12.0,16.0,DDR5,4800 MHz,2,0,"IPS LCD LED Backlit, True Tone",1920 x 1080 Pixels,IPS,165,100% sRGB,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,230 W,windows,27990000
asus,15.6,Core i7,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.2,4000000,24,8.747,2333000,15,17,5,35.4 x 25.1 x 2.24 ~ 2.49 cm,Xám,Intel,12700H,2.3,14.0,20.0,DDR4,3200 MHz,2,0,FHD Chính:,1920 x 1080 Pixels Màn hình chính:,IPS,144  Màn hình chính:,100% sRGB,Màn hình phẳng,,Chiclet Keyboard,Có,LED,Lithium-ion 4 viên,240 W,windows,27990000
asus,15.6,Ryzen 7,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.2,3500000,24,0.0,2453000,0,0,0,35.4 x 25.1 x 2.24 ~ 2.49 cm,Xám,AMD,7735HS,4.7,,,DDR5,,2,0,FHD,FHD (1920 x 1080),IPS,144,100% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Có,LED,,240 W,không,26990000
macbook,13.6,M2,8,256,Apple M2,1.24,3000000,12,6.747,2413000,168,212,5,30.41 x 21.5 x 1.13 cm,Đen,Apple,8 - Core,2.3,,,LPDDR4,3200 MHz,Không,Có,Retina,2560 x 1644 Pixels,IPS,60,,LED,4,English International Backlit Keyboard,Không,LED,Lithium polymer,30 W,macos,26990000
acer,14.0,Core i7,16,1,Intel Iris Xe Graphics,1.2,4000000,12,6.622,2413000,0,0,5,321 (W) x 210.8 (D) x 15.9 (H) mm,Vàng,Intel,1260P,3.3,12.0,16.0,LPDDR4,,0,1,Acer ComfyView LED-backlit Chính:,2560 x 1440 Pixels Màn hình chính:,IPS,60  Màn hình chính:,,,,Bàn phím cứng,Không,LED,Lithium-ion,,windows,26490000
acer,15.6,Core i5,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.5,2000000,12,6.747,2181000,12,20,5,360.4x271.09x25.9 mm,Đen,Intel,12450H,3.3,,,DDR5,,2,0,Acer ComfyView Anti-glare LED-backlit,1920 x 1080 Pixels,IPS,144,45% NTSC,,,English International Backlit Keyboard,Có,LED,,,windows,25990000
lg,14.0,Core i5,16,256,Intel Iris Xe Graphics,0.999,6500000,24,7.622,2613000,0,1,5,"312 x 213,9 x 16,8 mm",Xám,Intel,1340P,,12.0,16.0,,,0,2,Anti-Glare,1920 x 1200 Pixels,IPS,Hãng không công bố,99% DCI-P3,LED,2,Backlit Chiclet Keyboard,Không,LED,,,windows,25990000
asus,14.0,Core i7,16,512,Intel Iris Xe Graphics,1.39,5000000,24,6.672,2413000,122,111,5,313.6 x 220.6 x 16.9 mm,Xanh,Intel,1260P,2.1,12.0,16.0,DDR5,4800 MHz,Không,Có,OLED,2880 x 1800 Pixels,IPS,90,100% DCI-P3,LED,2,Backlit Chiclet Keyboard,Không,LED,Lithium-ion 4 viên,65 W,windows,25990000
asus,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.5,4000000,24,6.622,2382000,27,31,5,31.15 x 22.34 x 1.59 ~ 1.59 mm,Xanh,Intel,1340P,4.6,12.0,16.0,LPDDR5,5500 MHz,Không,Có,OLED Chính:,2880 x 1800 Pixels,IPS,90,100% DCI-P3,OLED,2,Backlit Chiclet Keyboard,Không,LED,Lithium-ion,,windows,25990000
hp,16.0,Ryzen 5,16,512,NVIDIA GeForce RTX 3050 6GB,2.31,1500000,12,6.847,2214000,13,16,5,36.9 x 25.94 x 2.29 cm,Đen,AMD,7640HS,4.3,,,,,2,0,Anti-glare LED UWVA,1920 x 1080 Pixels,WVA,60,,LCD,,Chiclet Keyboard,Có,Không,,,windows,25890000
gigabyte,15.0,Core i5,16,512,NVIDIA GeForce RTX 4060 8GB GDDR6,1.9,800000,24,6.622,2141000,0,0,0,360 x 238 x 22.7 mm,Đen,Intel,12500H,2.5,12.0,16.0,DDR4,3200 MHz,2,0,FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,LCD,2,English International Backlit Keyboard,Có,LED,Lithium-ion,,windows,25690000
lenovo,16.0,Core i7,16,512,Intel Iris Xe Graphics,1.97,1300000,24,6.297,2157000,13,17,5,356.1 x 247.7 x 19.85,Đen,Intel,1355U,1.7,10.0,12.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1200 Pixels,IPS,60,,,,English International Backlit Keyboard,Không,Không,,,windows,25390000
dell,14.0,Core i7,16,1,,1.58,1700000,12,6.372,2181000,0,5,5,31.40 x 22.66 x 1.85 cm,Bạc,Intel,1360P,2.0,,,LPDDR5,,0,1,Wide-Viewing Angle (WVA),1920 x 1200 Pixels,IPS,60,,,,English International Backlit Keyboard,Có,LED,,,windows,25290000
hp,13.3,Core i7,8,512,Intel UHD Graphics,1.34,7600000,12,6.422,2381000,13,16,5,29.83 x 21.49 x 1.61 cm,Xanh dương,Intel,1250U,1.1,,,,,0,2,OLED,2880 x 1800 Pixels,AMOLED,60,,,,Chiclet Keyboard,Không,LED,,,windows,24990000
hp,14.0,Core i7,16,512,Intel UHD Graphics,1.38,2500000,12,6.122,2222000,0,19,5,32.19 x 21.39 x 1.99 cm,Bạc,Intel,1360P,1.9,,,,,2,0,Anti-glare LED UWVA,1920 x 1080 Pixels,IPS,60,,,,Chiclet Keyboard,Không,LED,,65 W,windows,24990000
acer,16.1,Core i5,16,512,NVIDIA GeForce RTX 3050 4GB,1.9,6000000,12,6.247,2333000,0,0,5,367.8 (W) x 236.1 (D) x 18.9 (H) mm,Xám,Intel,11320H,3.2,4.0,8.0,LPDDR4,,0,1,Acer ComfyView LED-backlit Chính:,FHD (1920 x 1080) Màn hình chính:,IPS,60  Màn hình chính:,,,,Bàn phím cứng,Có (NumberPad),LED,Lithium-ion,,windows,24990000
msi,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.49,2300000,24,6.172,2181000,0,0,5,314 x 227.5 x 17.9 mm,Bạc,Intel,13500H,3.5,12.0,16.0,LPDDR5,4800 MHz,0,1,IPS,1920 x 1200 Pixels,IPS,144,,,,Backlit Chiclet Keyboard,Có,LED,,100 W,windows,24690000
msi,15.6,Core i7,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,1.98,2800000,24,6.422,2222000,25,40,5,359.36 x 250.34 x 21.95 mm,Đen,Intel,12650H,2.3,10.0,16.0,DDR5,4800 MHz,2,0,IPS,1920 x 1080 Pixels,IPS,144,,,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,Lithium polymer,120 W,windows,24690000
dell,15.6,Core i7,16,512,,1.74,500000,12,0.0,3356000,0,0,5,35.85 x 23.56 x 1.90 cm,Xám,Intel,1355U,1.3,,,DDR4,,0,0,Anti-Glare,1920 x 1200 Pixels,IPS,120,,,,English International Backlit Keyboard,Có,LED,,,windows,24490000
acer,15.6,Core i7,8,512,NVIDIA GeForce RTX 3050 4GB,2.5,5500000,12,6.372,2181000,44,114,5,360.4 x 271.09 x 25.9 mm,Đen,Intel,12700H,2.3,14.0,20.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,144,,LED,,"6-row, multimedia Fn keys",Có,LED,Lithium-ion 4 viên,,windows,24490000
acer,16.1,Core i5,16,512,NVIDIA GeForce RTX 3050 4GB,1.9,2500000,12,6.497,2141000,14,42,4,18.9 x 368 x 235 mm,Xám,Intel,11320H,3.2,4.0,8.0,LPDDR4X,4266 MHz,Không,Có,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,60,100% sRGB,LED,2,Backlit Chiclet Keyboard,Không,LED,Lithium-ion,59 W,windows,23990000
asus,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.39,4000000,24,6.147,2262000,25,36,5,313.6 x 219.8 x 16.9 mm,Bạc,Intel,1340P,1.9,12.0,16.0,DDR5,4800 MHz,Không,Có,OLED,2880 x 1800 Pixels,OLED,90,100% DCI-P3,OLED,,Backlit Chiclet Keyboard,Có (NumberPad),LED,,75 W,windows,23990000
asus,14.0,Core i9,16,512,Intel Iris Xe Graphics,1.4,3000000,24,6.422,2181000,13,18,5,31.71 x 22.25 x 1.89 ~ 1.89 cm,Đen,Intel,13900H,2.6,14.0,20.0,DDR4,3200 MHz,1,Có,OLED,2880 x 1800 Pixels,OLED,90,,LED,,Backlit Chiclet Keyboard,Có,LED,,,windows,23990000
lenovo,14.0,Core i7,16,512,,1.35,1200000,36,0.0,2021000,0,1,5,312 x 221 x 14.9 mm,Xám Trắng,Intel,13700H,2.4,14.0,20.0,DDR5,5200 MHz,0,2,OLED,1920 x 1200 Pixels,IPS,60,,,2,Backlit Chiclet Keyboard,Không,Trắng,,,windows,23790000
dell,16.0,Core i5,16,512,NVIDIA GeForce MX570 2GB,1.845,1400000,12,5.997,2021000,24,35,4,35.678 x 25.190 x 1.795 cm,Xám,Intel,1240P,1.7,,,DDR4,3200 MHz,2,1,Anti -glare LED-Backlit Display,1200 x 1920 Pixels,TFT,60,,,,English International Backlit Keyboard,Có,LED,,,windows,23590000
asus,14.0,Core i9,16,512,Intel Iris Xe Graphics,1.5,3000000,24,5.872,2141000,0,4,0,31.32 x 22.76 x 1.89 mm,Bạc,Intel,13900H,2.6,,,DDR4,,1,1,LED Backlit,1920 x 1200 Pixels,IPS,60,,,,Backlit Chiclet Keyboard,Không,LED,,,windows,23490000
lenovo,16.0,Core i5,16,512,Intel Iris Xe Graphics,1.57,0,36,0.0,3088000,0,0,5,327.5 x 225.3 x 16.81 mm,Xám,Intel,1145G7,2.6,4.0,8.0,DDR4,4266 MHz,0,2,Anti-Glare,1920 x 1200 Pixels,IPS,60,45% NTSC,LED,2,English International Backlit Keyboard,Có,LED,,65 W,windows,22990000
lenovo,14.0,Core i7,8,512,Intel Iris Xe Graphics,1.64,2600000,24,5.772,2069000,13,18,5,324 x 220.7 x 17.9 mm,Đen,Intel,1255U,1.7,10.0,12.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,60,,,,Chiclet Keyboard,Không,Không,,,windows,22990000
acer,15.6,Ryzen 7,8,512,NVIDIA GeForce RTX 3060 6GB,2.2,10000000,12,0.0,2133000,0,0,0,363.4 x 255 x 23.9 mm,Đen,AMD,5800H,3.2,8.0,16.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,144,45% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,57.5 W,windows,22490000
dell,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.62,3000000,12,5.622,2573000,0,1,5,"314 x 226,56  x 17,47 mm",Bạc,Intel,1335U,1.3,10.0,12.0,LPDDR5,4800 MHz,0,1,Anti-Glare LED-Backlit Display Chính:,1920 x 1200 Pixels Màn hình chính:,WVA,60,45% NTSC,LED,2,English International Backlit Keyboard,Không,LED,Lithium-ion,65 W,windows,22490000
